type,written,spoken
currency,$629.49,six hundred twenty nine dollars forty nine cents
hebrew_gender,בשבילך (Read as Masculine),bishvilcha
decimal,76.934,seventy six point nine three four
decimal,94.317,ninety four point three one seven
number,680066,six hundred eighty thousand sixty six
phone,208-583-7131,"two zero eight, five eight three, seven one three one"
time,10:20,ten twenty AM
number,775474,"seven hundred seventy five thousand, four hundred seventy four"
date,1998-12-13,"December thirteenth, nineteen ninety eight"
decimal,33.920,thirty three point nine two zero
currency,$845.68,eight hundred forty five dollars sixty eight cents
decimal,75.962,seventy five point nine six two
number,266203,"two hundred sixty six thousand, two hundred three"
time,04:10,four ten AM
number,170906,"one hundred seventy thousand, nine hundred six"
currency,$753.08,seven hundred fifty three dollars eight cents
number,544305,"five hundred forty four thousand, three hundred five"
phone,379-513-6152,"three seven nine, five one three, six one five two"
number,633591,"six hundred thirty three thousand, five hundred ninety one"
hebrew_gender,אצלך (Read as Masculine),etzlecha
hebrew_gender,הלכת (Read as Masculine),halachta
currency,$289.82,two hundred eighty nine dollars eighty two cents
phone,233-497-5141,"two three three, four nine seven, five one four one"
number,667915,"six hundred sixty seven thousand, nine hundred fifteen"
date,07/02/1912,"February seventh, nineteen twelve"
time,11:38,eleven thirty eight AM
date,04/20/2014,"April twentieth, twenty fourteen"
decimal,49.649,forty nine point six four nine
date,14/10/1992,"October fourteenth, nineteen ninety two"
time,16:26,four twenty six PM
decimal,17.973,seventeen point nine seven three
decimal,1.531,one point five three one
currency,$683.94,six hundred eighty three dollars ninety four cents
number,794212,"seven hundred ninety four thousand, two hundred twelve"
decimal,22.183,twenty two point one eight three
date,12/31/2034,"December thirty first, twenty thirty four"
decimal,10.779,ten point seven seven nine
number,228526,"two hundred twenty eight thousand, five hundred twenty six"
decimal,99.693,ninety nine point six nine three
decimal,39.468,thirty nine point four six eight
hebrew_gender,תשובתך (Read as Feminine),tshuvatech
currency,$158.84,one hundred fifty eight dollars eighty four cents
decimal,77.966,seventy seven point nine six six
currency,$134.70,one hundred thirty four dollars seventy cents
hebrew_gender,לידיעתך (Read as Masculine),leyedi'at'cha
decimal,29.749,twenty nine point seven four nine
hebrew_gender,בך (Read as Feminine),bach
date,02/17/1934,"February seventeenth, nineteen thirty four"
number,983449,"nine hundred eighty three thousand, four hundred forty nine"
time,12:13,twelve thirteen PM
phone,812-250-3037,"eight one two, two five zero, three zero three seven"
hebrew_gender,תשובתך (Read as Masculine),tshuvatcha
decimal,69.218,sixty nine point two one eight
number,132344,"one hundred thirty two thousand, three hundred forty four"
hebrew_gender,ממך (Read as Masculine),mimcha
date,08/21/2008,"August twenty first, two thousand eight"
decimal,10.689,ten point six eight nine
hebrew_gender,ממך (Read as Feminine),mimech
currency,$248.11,two hundred forty eight dollars eleven cents
currency,$23.94,twenty three dollars ninety four cents
phone,652-988-5862,"six five two, nine eight eight, five eight six two"
date,1985-06-11,"June eleventh, nineteen eighty five"
decimal,7.25,seven point two five
decimal,83.216,eighty three point two one six
decimal,69.379,sixty nine point three seven nine
phone,299-640-3126,"two nine nine, six four zero, three one two six"
number,810358,"eight hundred ten thousand, three hundred fifty eight"
hebrew_gender,דעתך (Read as Masculine),da'at'cha
number,96353,"ninety six thousand, three hundred fifty three"
number,820613,"eight hundred twenty thousand, six hundred thirteen"
time,12:46,twelve forty six PM
currency,$234.98,two hundred thirty four dollars ninety eight cents
time,08:46,eight forty six AM
currency,$969.21,nine hundred sixty nine dollars twenty one cents
decimal,59.684,fifty nine point six eight four
phone,905-254-5737,"nine zero five, two five four, five seven three seven"
time,23:57,eleven fifty seven PM
hebrew_gender,לך (Read as Masculine),lecha
time,21:59,nine fifty nine PM
hebrew_gender,שלך (Read as Masculine),shelcha
decimal,83.787,eighty three point seven eight seven
phone,904-555-8111,"nine zero four, five five five, eight one one one"
number,266593,"two hundred sixty six thousand, five hundred ninety three"
currency,$560.29,five hundred sixty dollars twenty nine cents
currency,$719.75,seven hundred nineteen dollars seventy five cents
phone,232-246-9883,"two three two, two four six, nine eight eight three"
time,20:50,eight fifty PM
date,28/03/1939,"March twenty eighth, nineteen thirty nine"
currency,$435.63,four hundred thirty five dollars sixty three cents
hebrew_gender,ידיעתך (Read as Masculine),yedi'at'cha
number,247126,"two hundred forty seven thousand, one hundred twenty six"
hebrew_gender,בשבילך (Read as Feminine),bishvilech
date,"February 01, 2026","February first, twenty twenty six"
decimal,25.697,twenty five point six nine seven
time,09:19,nine nineteen AM
currency,$28.31,twenty eight dollars thirty one cents
hebrew_gender,כמוך (Read as Masculine),kamocha
currency,$86.42,eighty six dollars forty two cents
phone,592-945-7414,"five nine two, nine four five, seven four one four"
decimal,55.573,fifty five point five seven three
time,19:29,seven twenty nine PM
currency,$225.78,two hundred twenty five dollars seventy eight cents
currency,$775.55,seven hundred seventy five dollars fifty five cents
number,268188,"two hundred sixty eight thousand, one hundred eighty eight"
hebrew_gender,עליך (Read as Masculine),aleicha
time,16:08,four oh eight PM
date,"November 09, 1978","November ninth, nineteen seventy eight"
number,625433,"six hundred twenty five thousand, four hundred thirty three"
currency,$20.28,twenty dollars twenty eight cents
decimal,1.936,one point nine three six
number,453429,"four hundred fifty three thousand, four hundred twenty nine"
time,08:08,eight oh eight AM
time,02:46,two forty six AM
time,12:45,twelve forty five PM
date,"October 07, 2015","October seventh, twenty fifteen"
decimal,41.869,forty one point eight six nine
hebrew_gender,כמוך (Read as Feminine),kamoch
time,10:34,ten thirty four AM
decimal,94.220,ninety four point two two zero
date,"March 26, 1915","March twenty sixth, nineteen fifteen"
decimal,5.438,five point four three eight
hebrew_gender,ראית (Read as Feminine),ra'it
currency,$59.40,fifty nine dollars forty cents
decimal,9.687,nine point six eight seven
currency,$983.92,nine hundred eighty three dollars ninety two cents
phone,903-243-4988,"nine zero three, two four three, four nine eight eight"
decimal,28.836,twenty eight point eight three six
time,15:19,three nineteen PM
currency,$276.28,two hundred seventy six dollars twenty eight cents
phone,216-284-8442,"two one six, two eight four, eight four four two"
date,09/04/1930,"April ninth, nineteen thirty"
date,31/07/1999,"July thirty first, nineteen ninety nine"
date,12/05/1955,"December fifth, nineteen fifty five"
number,805935,"eight hundred five thousand, nine hundred thirty five"
currency,$481.01,four hundred eighty one dollars one cent
currency,$884.19,eight hundred eighty four dollars nineteen cents
date,"May 09, 2042","May ninth, twenty forty two"
decimal,41.141,forty one point one four one
number,289503,"two hundred eighty nine thousand, five hundred three"
number,111682,"one hundred eleven thousand, six hundred eighty two"
currency,$672.92,six hundred seventy two dollars ninety two cents
number,794548,"seven hundred ninety four thousand, five hundred forty eight"
hebrew_gender,הלכת (Read as Feminine),halacht
currency,$664.71,six hundred sixty four dollars seventy one cents
time,22:14,ten fourteen PM
time,22:21,ten twenty one PM
number,561119,"five hundred sixty one thousand, one hundred nineteen"
currency,$980.90,nine hundred eighty dollars ninety cents
currency,$876.29,eight hundred seventy six dollars twenty nine cents
hebrew_gender,רצית (Read as Masculine),ratzita
decimal,4.514,four point five one four
time,19:28,seven twenty eight PM
currency,$350.69,three hundred fifty dollars sixty nine cents
currency,$245.91,two hundred forty five dollars ninety one cents
currency,$712.96,seven hundred twelve dollars ninety six cents
date,01/26/1902,"January twenty sixth, nineteen oh two"
hebrew_gender,זכותך (Read as Feminine),zchutech
number,231701,"two hundred thirty one thousand, seven hundred one"
number,456033,four hundred fifty six thousand thirty three
decimal,22.429,twenty two point four two nine
number,673823,"six hundred seventy three thousand, eight hundred twenty three"
decimal,60.792,sixty point seven nine two
time,23:38,eleven thirty eight PM
phone,538-469-3290,"five three eight, four six nine, three two nine zero"
number,876354,"eight hundred seventy six thousand, three hundred fifty four"
currency,$532.39,five hundred thirty two dollars thirty nine cents
currency,$11.21,eleven dollars twenty one cents
hebrew_gender,הבנת (Read as Feminine),hevant
hebrew_gender,בעצמך (Read as Masculine),be'atzmecha
hebrew_gender,אמרת (Read as Feminine),amart
decimal,92.963,ninety two point nine six three
phone,204-706-2065,"two zero four, seven zero six, two zero six five"
date,1939-03-05,"March fifth, nineteen thirty nine"
time,13:46,one forty six PM
phone,609-247-2965,"six zero nine, two four seven, two nine six five"
phone,698-838-6277,"six nine eight, eight three eight, six two seven seven"
currency,$606.10,six hundred six dollars ten cents
number,273245,"two hundred seventy three thousand, two hundred forty five"
date,"December 12, 1981","December twelfth, nineteen eighty one"
phone,396-218-2129,"three nine six, two one eight, two one two nine"
date,"May 10, 2035","May tenth, twenty thirty five"
time,14:00,two PM
hebrew_gender,עליך (Read as Masculine),aleicha
number,85461,"eighty five thousand, four hundred sixty one"
hebrew_gender,בך (Read as Masculine),becha
number,903701,"nine hundred three thousand, seven hundred one"
decimal,66.341,sixty six point three four one
phone,277-209-7960,"two seven seven, two zero nine, seven nine six zero"
date,"September 10, 2030","September tenth, twenty thirty"
decimal,85.227,eighty five point two two seven
phone,487-217-7656,"four eight seven, two one seven, seven six five six"
decimal,10.950,ten point nine five zero
date,01/02/2016,"February first, twenty sixteen"
date,10/27/2011,"October twenty seventh, twenty eleven"
phone,782-725-3195,"seven eight two, seven two five, three one nine five"
date,12/12/1950,"December twelfth, nineteen fifty"
number,719469,"seven hundred nineteen thousand, four hundred sixty nine"
hebrew_gender,שמך (Read as Feminine),shmech
date,11/20/1937,"November twentieth, nineteen thirty seven"
decimal,83.178,eighty three point one seven eight
decimal,88.16,eighty eight point one six
hebrew_gender,אמרת (Read as Masculine),amarta
phone,882-526-8836,"eight eight two, five two six, eight eight three six"
time,19:07,seven oh seven PM
phone,929-248-7283,"nine two nine, two four eight, seven two eight three"
time,12:44,twelve forty four PM
time,02:03,two oh three AM
date,18/09/2011,"September eighteenth, twenty eleven"
time,23:45,eleven forty five PM
time,19:07,seven oh seven PM
decimal,60.424,sixty point four two four
decimal,11.635,eleven point six three five
hebrew_gender,זכותך (Read as Masculine),zchutcha
number,495465,"four hundred ninety five thousand, four hundred sixty five"
time,11:00,eleven AM
number,911220,"nine hundred eleven thousand, two hundred twenty"
number,580742,"five hundred eighty thousand, seven hundred forty two"
decimal,100.951,one hundred point nine five one
decimal,17.219,seventeen point two one nine
currency,$875.49,eight hundred seventy five dollars forty nine cents
date,11/15/2038,"November fifteenth, twenty thirty eight"
date,02/02/1920,"February second, nineteen twenty"
currency,$283.03,two hundred eighty three dollars three cents
phone,753-607-8543,"seven five three, six zero seven, eight five four three"
number,510570,"five hundred ten thousand, five hundred seventy"
date,27/12/1920,"December twenty seventh, nineteen twenty"
decimal,8.546,eight point five four six
time,01:09,one oh nine AM
number,121599,"one hundred twenty one thousand, five hundred ninety nine"
date,11/21/1961,"November twenty first, nineteen sixty one"
number,818350,"eight hundred eighteen thousand, three hundred fifty"
date,06/25/1965,"June twenty fifth, nineteen sixty five"
currency,$220.01,two hundred twenty dollars one cent
phone,718-880-8304,"seven one eight, eight eight zero, eight three zero four"
number,880992,"eight hundred eighty thousand, nine hundred ninety two"
time,10:46,ten forty six AM
time,10:45,ten forty five AM
phone,855-754-3476,"eight five five, seven five four, three four seven six"
date,03/13/1904,"March thirteenth, nineteen oh four"
currency,$471.10,four hundred seventy one dollars ten cents
number,936574,"nine hundred thirty six thousand, five hundred seventy four"
time,12:04,twelve oh four PM
date,"December 16, 1914","December sixteenth, nineteen fourteen"
date,1949-08-08,"August eighth, nineteen forty nine"
currency,$855.60,eight hundred fifty five dollars sixty cents
decimal,83.472,eighty three point four seven two
time,08:03,eight oh three AM
phone,930-861-7585,"nine three zero, eight six one, seven five eight five"
date,05/26/2026,"May twenty sixth, twenty twenty six"
date,"March 07, 1961","March seventh, nineteen sixty one"
decimal,73.128,seventy three point one two eight
currency,$202.28,two hundred two dollars twenty eight cents
number,755232,"seven hundred fifty five thousand, two hundred thirty two"
currency,$613.92,six hundred thirteen dollars ninety two cents
currency,$852.79,eight hundred fifty two dollars seventy nine cents
hebrew_gender,ידעת (Read as Masculine),yadata
number,566976,"five hundred sixty six thousand, nine hundred seventy six"
number,644207,"six hundred forty four thousand, two hundred seven"
time,14:18,two eighteen PM
hebrew_gender,כתבת (Read as Masculine),katavta
time,03:15,three fifteen AM
decimal,49.763,forty nine point seven six three
time,02:01,two oh one AM
currency,$910.12,nine hundred ten dollars twelve cents
decimal,95.806,ninety five point eight zero six
currency,$173.32,one hundred seventy three dollars thirty two cents
number,594684,"five hundred ninety four thousand, six hundred eighty four"
decimal,62.402,sixty two point four zero two
time,21:52,nine fifty two PM
number,899805,"eight hundred ninety nine thousand, eight hundred five"
currency,$192.76,one hundred ninety two dollars seventy six cents
number,670253,"six hundred seventy thousand, two hundred fifty three"
currency,$703.33,seven hundred three dollars thirty three cents
decimal,3.166,three point one six six
currency,$657.38,six hundred fifty seven dollars thirty eight cents
phone,580-467-8205,"five eight zero, four six seven, eight two zero five"
hebrew_gender,הבנת (Read as Masculine),hevanta
date,02/26/2046,"February twenty sixth, twenty forty six"
date,12/19/1926,"December nineteenth, nineteen twenty six"
date,"March 08, 1961","March eighth, nineteen sixty one"
time,05:54,five fifty four AM
hebrew_gender,בשבילך (Read as Feminine),bishvilech
time,12:37,twelve thirty seven PM
phone,885-878-9487,"eight eight five, eight seven eight, nine four eight seven"
decimal,37.515,thirty seven point five one five
currency,$828.33,eight hundred twenty eight dollars thirty three cents
currency,$321.76,three hundred twenty one dollars seventy six cents
hebrew_gender,בעצמך (Read as Feminine),be'atzmech
currency,$943.87,nine hundred forty three dollars eighty seven cents
hebrew_gender,כמוך (Read as Feminine),kamoch
currency,$0.09,nine cents
currency,$782.97,seven hundred eighty two dollars ninety seven cents
number,529488,"five hundred twenty nine thousand, four hundred eighty eight"
phone,898-654-1951,"eight nine eight, six five four, one nine five one"
number,985085,nine hundred eighty five thousand eighty five
hebrew_gender,רצונך (Read as Feminine),retzonech
time,14:57,two fifty seven PM
hebrew_gender,חשבת (Read as Masculine),chashavta
date,"January 06, 1959","January sixth, nineteen fifty nine"
number,16221,"sixteen thousand, two hundred twenty one"
hebrew_gender,כמוך (Read as Masculine),kamocha
time,11:17,eleven seventeen AM
decimal,37.210,thirty seven point two one zero
number,161231,"one hundred sixty one thousand, two hundred thirty one"
decimal,0.462,zero point four six two
number,246229,"two hundred forty six thousand, two hundred twenty nine"
currency,$1.67,one dollar sixty seven cents
decimal,61.936,sixty one point nine three six
decimal,35.343,thirty five point three four three
currency,$480.39,four hundred eighty dollars thirty nine cents
time,10:39,ten thirty nine AM
currency,$817.04,eight hundred seventeen dollars four cents
currency,$482.70,four hundred eighty two dollars seventy cents
hebrew_gender,כוונתך (Read as Feminine),kavanatech
hebrew_gender,אליך (Read as Masculine),eleicha
date,"April 04, 2025","April fourth, twenty twenty five"
phone,590-335-2562,"five nine zero, three three five, two five six two"
number,595074,five hundred ninety five thousand seventy four
hebrew_gender,אמרת (Read as Feminine),amart
hebrew_gender,ידיעתך (Read as Masculine),yedi'at'cha
date,"September 26, 2015","September twenty sixth, twenty fifteen"
phone,803-330-1231,"eight zero three, three three zero, one two three one"
phone,817-393-9840,"eight one seven, three nine three, nine eight four zero"
phone,362-382-5962,"three six two, three eight two, five nine six two"
number,351030,three hundred fifty one thousand thirty
date,09/23/1986,"September twenty third, nineteen eighty six"
date,1964-02-05,"February fifth, nineteen sixty four"
date,10/01/2046,"January tenth, twenty forty six"
time,22:24,ten twenty four PM
hebrew_gender,עליך (Read as Feminine),alaich
date,"December 05, 1962","December fifth, nineteen sixty two"
date,2017-04-27,"April twenty seventh, twenty seventeen"
date,12/26/2045,"December twenty sixth, twenty forty five"
time,03:17,three seventeen AM
hebrew_gender,ממך (Read as Masculine),mimcha
date,1935-05-11,"May eleventh, nineteen thirty five"
currency,$138.67,one hundred thirty eight dollars sixty seven cents
time,17:00,five PM
hebrew_gender,כתבת (Read as Masculine),katavta
date,04/02/1905,"February fourth, nineteen oh five"
date,03/12/2018,"March twelfth, twenty eighteen"
currency,$615.64,six hundred fifteen dollars sixty four cents
hebrew_gender,בעצמך (Read as Feminine),be'atzmech
decimal,39.197,thirty nine point one nine seven
hebrew_gender,כמוך (Read as Masculine),kamocha
time,07:52,seven fifty two AM
hebrew_gender,שאלתך (Read as Feminine),she'elatech
currency,$275.02,two hundred seventy five dollars two cents
number,651237,"six hundred fifty one thousand, two hundred thirty seven"
hebrew_gender,דעתך (Read as Masculine),da'at'cha
phone,846-716-3510,"eight four six, seven one six, three five one zero"
decimal,4.365,four point three six five
date,09/06/1967,"September sixth, nineteen sixty seven"
time,21:17,nine seventeen PM
time,07:28,seven twenty eight AM
decimal,79.208,seventy nine point two zero eight
number,803230,"eight hundred three thousand, two hundred thirty"
date,11/11/2008,"November eleventh, two thousand eight"
decimal,40.366,forty point three six six
phone,876-807-1207,"eight seven six, eight zero seven, one two zero seven"
currency,$263.96,two hundred sixty three dollars ninety six cents
phone,957-937-7766,"nine five seven, nine three seven, seven seven six six"
decimal,2.468,two point four six eight
phone,513-679-3132,"five one three, six seven nine, three one three two"
hebrew_gender,ראית (Read as Masculine),ra'ita
phone,924-640-7538,"nine two four, six four zero, seven five three eight"
hebrew_gender,חשבת (Read as Feminine),chashavt
number,707265,"seven hundred seven thousand, two hundred sixty five"
number,288442,"two hundred eighty eight thousand, four hundred forty two"
hebrew_gender,תשובתך (Read as Masculine),tshuvatcha
hebrew_gender,שמעת (Read as Masculine),shamata
hebrew_gender,דעתך (Read as Masculine),da'at'cha
time,04:00,four AM
decimal,0.964,zero point nine six four
phone,455-351-3056,"four five five, three five one, three zero five six"
time,05:01,five oh one AM
number,104615,"one hundred four thousand, six hundred fifteen"
decimal,1.818,one point eight one eight
decimal,10.782,ten point seven eight two
phone,807-845-3790,"eight zero seven, eight four five, three seven nine zero"
date,"November 19, 1963","November nineteenth, nineteen sixty three"
date,"June 18, 1917","June eighteenth, nineteen seventeen"
time,07:55,seven fifty five AM
date,2002-12-02,"December second, two thousand two"
currency,$938.95,nine hundred thirty eight dollars ninety five cents
time,05:25,five twenty five AM
phone,731-931-1633,"seven three one, nine three one, one six three three"
decimal,15.186,fifteen point one eight six
number,884824,"eight hundred eighty four thousand, eight hundred twenty four"
phone,989-692-5666,"nine eight nine, six nine two, five six six six"
currency,$654.90,six hundred fifty four dollars ninety cents
time,08:23,eight twenty three AM
phone,254-555-1672,"two five four, five five five, one six seven two"
currency,$682.02,six hundred eighty two dollars two cents
currency,$841.10,eight hundred forty one dollars ten cents
time,08:00,eight AM
phone,584-209-6415,"five eight four, two zero nine, six four one five"
number,45460,"forty five thousand, four hundred sixty"
date,"December 22, 1994","December twenty second, nineteen ninety four"
time,16:14,four fourteen PM
currency,$643.65,six hundred forty three dollars sixty five cents
currency,$30.01,thirty dollars one cent
currency,$520.75,five hundred twenty dollars seventy five cents
decimal,41.489,forty one point four eight nine
time,16:10,four ten PM
phone,688-382-7571,"six eight eight, three eight two, seven five seven one"
phone,320-877-9683,"three two zero, eight seven seven, nine six eight three"
currency,$921.96,nine hundred twenty one dollars ninety six cents
decimal,76.389,seventy six point three eight nine
date,"March 30, 1963","March thirtieth, nineteen sixty three"
phone,210-866-7895,"two one zero, eight six six, seven eight nine five"
hebrew_gender,אצלך (Read as Masculine),etzlecha
decimal,45.114,forty five point one one four
hebrew_gender,ידיעתך (Read as Masculine),yedi'at'cha
currency,$210.98,two hundred ten dollars ninety eight cents
time,07:16,seven sixteen AM
hebrew_gender,אותך (Read as Masculine),otcha
decimal,19.236,nineteen point two three six
hebrew_gender,לך (Read as Masculine),lecha
time,22:40,ten forty PM
number,517421,"five hundred seventeen thousand, four hundred twenty one"
time,06:21,six twenty one AM
number,179354,"one hundred seventy nine thousand, three hundred fifty four"
currency,$979.84,nine hundred seventy nine dollars eighty four cents
time,20:38,eight thirty eight PM
currency,$117.73,one hundred seventeen dollars seventy three cents
currency,$266.94,two hundred sixty six dollars ninety four cents
number,619154,"six hundred nineteen thousand, one hundred fifty four"
decimal,8.780,eight point seven eight zero
phone,715-581-2381,"seven one five, five eight one, two three eight one"
hebrew_gender,לידיעתך (Read as Feminine),leyedi'atech
hebrew_gender,דעתך (Read as Masculine),da'at'cha
phone,641-561-7304,"six four one, five six one, seven three zero four"
phone,480-525-1766,"four eight zero, five two five, one seven six six"
hebrew_gender,ידיעתך (Read as Feminine),yedi'atech
phone,877-540-3548,"eight seven seven, five four zero, three five four eight"
decimal,75.290,seventy five point two nine zero
currency,$485.94,four hundred eighty five dollars ninety four cents
time,08:14,eight fourteen AM
time,07:48,seven forty eight AM
time,16:57,four fifty seven PM
decimal,8.135,eight point one three five
hebrew_gender,בעצמך (Read as Masculine),be'atzmecha
currency,$526.16,five hundred twenty six dollars sixteen cents
time,13:20,one twenty PM
number,875707,"eight hundred seventy five thousand, seven hundred seven"
hebrew_gender,עליך (Read as Feminine),alaich
phone,214-728-9759,"two one four, seven two eight, nine seven five nine"
currency,$978.21,nine hundred seventy eight dollars twenty one cents
date,06/02/2047,"February sixth, twenty forty seven"
decimal,79.380,seventy nine point three eight zero
currency,$878.87,eight hundred seventy eight dollars eighty seven cents
date,11/21/1915,"November twenty first, nineteen fifteen"
decimal,96.582,ninety six point five eight two
hebrew_gender,אליך (Read as Masculine),eleicha
number,365534,"three hundred sixty five thousand, five hundred thirty four"
date,05/09/1919,"May ninth, nineteen nineteen"
phone,291-256-1211,"two nine one, two five six, one two one one"
date,"October 17, 1979","October seventeenth, nineteen seventy nine"
date,02/04/1927,"April second, nineteen twenty seven"
currency,$437.25,four hundred thirty seven dollars twenty five cents
date,04/02/2008,"February fourth, two thousand eight"
hebrew_gender,ידעת (Read as Masculine),yadata
hebrew_gender,אליך (Read as Masculine),eleicha
hebrew_gender,הלכת (Read as Feminine),halacht
decimal,49.881,forty nine point eight eight one
decimal,36.819,thirty six point eight one nine
time,10:48,ten forty eight AM
decimal,83.708,eighty three point seven zero eight
date,04/20/1931,"April twentieth, nineteen thirty one"
decimal,77.445,seventy seven point four four five
number,240113,"two hundred forty thousand, one hundred thirteen"
number,629513,"six hundred twenty nine thousand, five hundred thirteen"
currency,$948.59,nine hundred forty eight dollars fifty nine cents
time,01:40,one forty AM
hebrew_gender,כתבת (Read as Feminine),katavt
hebrew_gender,לידיעתך (Read as Feminine),leyedi'atech
decimal,54.443,fifty four point four four three
time,11:40,eleven forty AM
decimal,14.866,fourteen point eight six six
time,09:55,nine fifty five AM
currency,$950.37,nine hundred fifty dollars thirty seven cents
